Illumina Library,Note,Library Creation Attempt,Nucleic Acid ID,Library Plate Container Barcode,Container Type,Well,Library Plate Label,Index Name,Final Aliquot Mass (ng),Library Concentration (ng/ul),Library Template Size (bp),Library Molarity QC (pM),Library Volume (ul),Number PCR Cycles,Library QC Result,Failure Mode,Complete
Lib_1,,1,NA00456140,27-810254,Plate,A1,XUPVQ-1,,250,,,,,,,,FALSE
Lib_2,,1,NA00456141,27-810254,Plate,C1,XUPVQ-1,,250,,,,,,,,FALSE
Lib_3,,1,NA00456142,27-810254,Plate,E1,XUPVQ-1,,250,,,,,,,,FALSE
Lib_4,,1,NA00456146,27-810254,Plate,G1,XUPVQ-1,,250,,,,,,,,FALSE
Lib_5,,1,NA00456147,27-810254,Plate,I1,XUPVQ-1,,250,,,,,,,,FALSE
Lib_6,,1,NA00456148,27-810254,Plate,K1,XUPVQ-1,,250,,,,,,,,FALSE
Lib_7,,1,NA00456153,27-810254,Plate,M1,XUPVQ-1,,250,,,,,,,,FALSE
Lib_8,,1,NA00456154,27-810254,Plate,O1,XUPVQ-1,,250,,,,,,,,FALSE
Lib_9,,1,NA00456155,27-810254,Plate,A3,XUPVQ-1,,250,,,,,,,,FALSE
Lib_10,,1,NA00456160,27-810254,Plate,C3,XUPVQ-1,,250,,,,,,,,FALSE
Lib_11,,1,NA00456161,27-810254,Plate,I3,XUPVQ-1,,250,,,,,,,,FALSE
Lib_12,,1,NA00456162,27-810254,Plate,K3,XUPVQ-1,,250,,,,,,,,FALSE
Lib_13,,1,NA00456163,27-810254,Plate,A5,XUPVQ-1,,250,,,,,,,,FALSE
Lib_14,,1,NA00456168,27-810254,Plate,G5,XUPVQ-1,,250,,,,,,,,FALSE
Lib_15,,1,NA00456169,27-810254,Plate,I5,XUPVQ-1,,250,,,,,,,,FALSE
Lib_16,,1,NA00456170,27-810254,Plate,K5,XUPVQ-1,,250,,,,,,,,FALSE
Lib_17,,1,NA00456171,27-810254,Plate,M5,XUPVQ-1,,250,,,,,,,,FALSE
Lib_18,,1,NA00456176,27-810254,Plate,O5,XUPVQ-1,,250,,,,,,,,FALSE
Lib_19,,1,NA00456177,27-810254,Plate,A7,XUPVQ-1,,250,,,,,,,,FALSE
Lib_20,,1,NA00456178,27-810254,Plate,C7,XUPVQ-1,,250,,,,,,,,FALSE
Lib_21,,1,NA00456179,27-810254,Plate,E7,XUPVQ-1,,250,,,,,,,,FALSE
Lib_22,,1,NA00456184,27-810254,Plate,G7,XUPVQ-1,,250,,,,,,,,FALSE
Lib_23,,1,NA00456191,27-810254,Plate,I7,XUPVQ-1,,250,,,,,,,,FALSE
Lib_24,,1,NA00456199,27-810254,Plate,K7,XUPVQ-1,,250,,,,,,,,FALSE
Lib_25,,1,NA00456206,27-810254,Plate,O7,XUPVQ-1,,250,,,,,,,,FALSE
Lib_26,,1,NA00456185,27-810254,Plate,A9,XUPVQ-1,,250,,,,,,,,FALSE
Lib_27,,1,NA00456192,27-810254,Plate,I9,XUPVQ-1,,250,,,,,,,,FALSE
Lib_28,,1,NA00456200,27-810254,Plate,K9,XUPVQ-1,,250,,,,,,,,FALSE
Lib_29,,1,NA00456207,27-810254,Plate,M9,XUPVQ-1,,250,,,,,,,,FALSE
Lib_30,,1,NA00456213,27-810254,Plate,O9,XUPVQ-1,,250,,,,,,,,FALSE
Lib_31,,1,NA00456218,27-810254,Plate,A11,XUPVQ-1,,250,,,,,,,,FALSE
Lib_32,,1,NA00456186,27-810254,Plate,C11,XUPVQ-1,,250,,,,,,,,FALSE
Lib_33,,1,NA00456193,27-810254,Plate,E11,XUPVQ-1,,250,,,,,,,,FALSE
Lib_34,,1,NA00456208,27-810254,Plate,G11,XUPVQ-1,,250,,,,,,,,FALSE
Lib_35,,1,NA00456214,27-810254,Plate,I11,XUPVQ-1,,250,,,,,,,,FALSE
Lib_36,,1,NA00456187,27-810254,Plate,K11,XUPVQ-1,,250,,,,,,,,FALSE
Lib_37,,1,NA00456194,27-810254,Plate,M11,XUPVQ-1,,250,,,,,,,,FALSE
Lib_38,,1,NA00456201,27-810254,Plate,O11,XUPVQ-1,,250,,,,,,,,FALSE
Lib_39,,1,NA00456209,27-810254,Plate,A13,XUPVQ-1,,250,,,,,,,,FALSE
Lib_40,,1,NA00456219,27-810254,Plate,C13,XUPVQ-1,,250,,,,,,,,FALSE
Lib_41,,1,NA00456143,27-810254,Plate,E13,XUPVQ-1,,250,,,,,,,,FALSE
Lib_42,,1,NA00456149,27-810254,Plate,G13,XUPVQ-1,,250,,,,,,,,FALSE
Lib_43,,1,NA00456156,27-810254,Plate,I13,XUPVQ-1,,250,,,,,,,,FALSE
Lib_44,,1,NA00456164,27-810254,Plate,K13,XUPVQ-1,,250,,,,,,,,FALSE
Lib_45,,1,NA00456172,27-810254,Plate,M13,XUPVQ-1,,250,,,,,,,,FALSE
Lib_46,,1,NA00456180,27-810254,Plate,E15,XUPVQ-1,,250,,,,,,,,FALSE
Lib_47,,1,NA00456195,27-810254,Plate,G15,XUPVQ-1,,250,,,,,,,,FALSE
Lib_48,,1,NA00456202,27-810254,Plate,K15,XUPVQ-1,,250,,,,,,,,FALSE
Lib_49,,1,NA00456220,27-810254,Plate,M15,XUPVQ-1,,250,,,,,,,,FALSE
Lib_50,,1,NA00456144,27-810254,Plate,O15,XUPVQ-1,,250,,,,,,,,FALSE
Lib_51,,1,NA00456150,27-810254,Plate,A17,XUPVQ-1,,250,,,,,,,,FALSE
Lib_52,,1,NA00456157,27-810254,Plate,C17,XUPVQ-1,,250,,,,,,,,FALSE
Lib_53,,1,NA00456165,27-810254,Plate,E17,XUPVQ-1,,250,,,,,,,,FALSE
Lib_54,,1,NA00456173,27-810254,Plate,G17,XUPVQ-1,,250,,,,,,,,FALSE
Lib_55,,1,NA00456181,27-810254,Plate,I17,XUPVQ-1,,250,,,,,,,,FALSE
Lib_56,,1,NA00456188,27-810254,Plate,K17,XUPVQ-1,,250,,,,,,,,FALSE
Lib_57,,1,NA00456196,27-810254,Plate,M17,XUPVQ-1,,250,,,,,,,,FALSE
Lib_58,,1,NA00456203,27-810254,Plate,O17,XUPVQ-1,,250,,,,,,,,FALSE
Lib_59,,1,NA00456210,27-810254,Plate,A19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_60,,1,NA00456215,27-810254,Plate,C19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_61,,1,NA00456221,27-810254,Plate,E19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_62,,1,NA00456145,27-810254,Plate,G19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_63,,1,NA00456151,27-810254,Plate,I19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_64,,1,NA00456158,27-810254,Plate,M19,XUPVQ-1,,250,,,,,,,,FALSE
Lib_65,,1,NA00456166,27-810254,Plate,G21,XUPVQ-1,,250,,,,,,,,FALSE
Lib_66,,1,NA00456174,27-810254,Plate,I21,XUPVQ-1,,250,,,,,,,,FALSE
Lib_67,,1,NA00456182,27-810254,Plate,K21,XUPVQ-1,,250,,,,,,,,FALSE
Lib_68,,1,NA00456189,27-810254,Plate,M21,XUPVQ-1,,250,,,,,,,,FALSE
Lib_69,,1,NA00456197,27-810254,Plate,O21,XUPVQ-1,,250,,,,,,,,FALSE
Lib_70,,1,NA00456204,27-810254,Plate,A23,XUPVQ-1,,250,,,,,,,,FALSE
Lib_71,,1,NA00456211,27-810254,Plate,C23,XUPVQ-1,,250,,,,,,,,FALSE